cc_capital-city,cc_street-code,cc_Box-Code,area,area-href,area_list,area_list-href,suburblist,suburblist-href,s_location,s_streetcode,s_boxcode,s_area,s_municipality,s_province,s_capitalcity,s_country
"Nelspruit","1201","1200","Ehlanzeni","http://postalcodez.co.za/postalcodes/mp/ehlanzeni","Nelspruit","http://postalcodez.co.za/postalcodes/mp/ehlanzeni/nelspruit","Sonheuwel Uit 3","http://sonheuwel-uit-3.postalcodez.co.za/postalcode/mp/ehlanzeni/nelspruit/sonheuwel-uit-3","Location: Sonheuwel Uit 3","1200","1200","Nelspruit","Ehlanzeni","Mpumalanga","MP Capital City:Nelspruit","South Africa"
"Nelspruit","1201","1200","Ehlanzeni","http://postalcodez.co.za/postalcodes/mp/ehlanzeni","Daantjie","http://postalcodez.co.za/postalcodes/mp/ehlanzeni/daantjie","Daantjie","http://daantjie.postalcodez.co.za/postalcode/mp/ehlanzeni/daantjie/daantjie","Location: Daantjie","-------","1215","Daantjie","Ehlanzeni","Mpumalanga","MP Capital City:Nelspruit","South Africa"
"Nelspruit","1201","1200","Ehlanzeni","http://postalcodez.co.za/postalcodes/mp/ehlanzeni","Nelspruit","http://postalcodez.co.za/postalcodes/mp/ehlanzeni/nelspruit","Mbombela Uit 2","http://mbombela-uit-2.postalcodez.co.za/postalcode/mp/ehlanzeni/nelspruit/mbombela-uit-2","Location: Mbombela Uit 2","1201","1200","Nelspruit","Ehlanzeni","Mpumalanga","MP Capital City:Nelspruit","South Africa"
"Nelspruit","1201","1200","Gert Sibande","http://postalcodez.co.za/postalcodes/mp/gert-sibande","Secunda","http://postalcodez.co.za/postalcodes/mp/gert-sibande/secunda","Secunda Ext 23","http://secunda-ext-23.postalcodez.co.za/postalcode/mp/gert-sibande/secunda/secunda-ext-23","Location: Secunda Ext 23","2302","2302","Secunda","Gert Sibande","Mpumalanga","MP Capital City:Nelspruit","South Africa"
"Nelspruit","1201","1200","Nkangala","http://postalcodez.co.za/postalcodes/mp/nkangala","Witbank","http://postalcodez.co.za/postalcodes/mp/nkangala/witbank","Del Judor Ext 1","http://del-judor-ext-1.postalcodez.co.za/postalcode/mp/nkangala/witbank/del-judor-ext-1","Location: Del Judor Ext 1","1034","-------","Witbank","Nkangala","Mpumalanga","MP Capital City:Nelspruit","South Africa"
"Nelspruit","1201","1200","Ehlanzeni","http://postalcodez.co.za/postalcodes/mp/ehlanzeni","Hazyview","http://postalcodez.co.za/postalcodes/mp/ehlanzeni/hazyview","Mkhuhlu","http://mkhuhlu.postalcodez.co.za/postalcode/mp/ehlanzeni/hazyview/mkhuhlu","Location: Mkhuhlu","-------","1246","Hazyview","Ehlanzeni","Mpumalanga","MP Capital City:Nelspruit","South Africa"
"Nelspruit","1201","1200","Gert Sibande","http://postalcodez.co.za/postalcodes/mp/gert-sibande","Bethal","http://postalcodez.co.za/postalcodes/mp/gert-sibande/bethal","Emzinoni Ext 2","http://emzinoni-ext-2.postalcodez.co.za/postalcode/mp/gert-sibande/bethal/emzinoni-ext-2","Location: Emzinoni Ext 2","2311","-------","Bethal","Gert Sibande","Mpumalanga","MP Capital City:Nelspruit","South Africa"
"Nelspruit","1201","1200","Ehlanzeni","http://postalcodez.co.za/postalcodes/mp/ehlanzeni","Acornhoek","http://postalcodez.co.za/postalcodes/mp/ehlanzeni/acornhoek","Malitshego","http://malitshego.postalcodez.co.za/postalcode/mp/ehlanzeni/acornhoek/malitshego","Location: Malitshego","-------","1360","Acornhoek","Ehlanzeni","Mpumalanga","MP Capital City:Nelspruit","South Africa"
"Nelspruit","1201","1200","Gert Sibande","http://postalcodez.co.za/postalcodes/mp/gert-sibande","Bethal","http://postalcodez.co.za/postalcodes/mp/gert-sibande/bethal","Emzinoni","http://emzinoni.postalcodez.co.za/postalcode/mp/gert-sibande/bethal/emzinoni","Location: Emzinoni","2309","-------","Bethal","Gert Sibande","Mpumalanga","MP Capital City:Nelspruit","South Africa"
"Nelspruit","1201","1200","Nkangala","http://postalcodez.co.za/postalcodes/mp/nkangala","Middelburg","http://postalcodez.co.za/postalcodes/mp/nkangala/middelburg","Mhluzi Uit 2","http://mhluzi-uit-2.postalcodez.co.za/postalcode/mp/nkangala/middelburg/mhluzi-uit-2","Location: Mhluzi Uit 2","1055","-------","Middelburg","Nkangala","Mpumalanga","MP Capital City:Nelspruit","South Africa"
