cc_capital-city;cc_street-code;cc_Box-Code;area;area-href;area_list;area_list-href;suburblist;suburblist-href;s_location;s_streetcode;s_boxcode;s_area;s_municipality;s_province;s_capitalcity;s_country
Johannesburg;2001;2000;City of Tshwane;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane;Faerie Glen;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane/faerie-glen;Faerie Glen Ext 2;http://faerie-glen-ext-2.postalcodez.co.za/postalcode/gp/city-of-tshwane/faerie-glen/faerie-glen-ext-2;Location: Faerie Glen Ext 2;81;43;Faerie Glen;City of Tshwane;Gauteng;GP Capital City:Johannesburg;South Africa
Johannesburg;2001;2000;City of Tshwane;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane;Menlo Park;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane/menlo-park;Garsfontein Ext 15;http://garsfontein-ext-15.postalcodez.co.za/postalcode/gp/city-of-tshwane/menlo-park/garsfontein-ext-15;Location: Garsfontein Ext 15;81;42;Menlo Park;City of Tshwane;Gauteng;GP Capital City:Johannesburg;South Africa
Johannesburg;2001;2000;City of Tshwane;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane;Pretoria;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane/pretoria;Thaba Tshwane;http://thaba-tshwane.postalcodez.co.za/postalcode/gp/city-of-tshwane/pretoria/thaba-tshwane;Location: Thaba Tshwane;187;143;Pretoria;City of Tshwane;Gauteng;GP Capital City:Johannesburg;South Africa
Johannesburg;2001;2000;City of Tshwane;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane;Pretoria;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane/pretoria;Roodeplaat;http://roodeplaat.postalcodez.co.za/postalcode/gp/city-of-tshwane/pretoria/roodeplaat;Location: Roodeplaat;39;30;Pretoria;City of Tshwane;Gauteng;GP Capital City:Johannesburg;South Africa
Johannesburg;2001;2000;City of Tshwane;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane;Mamelodi;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane/mamelodi;Mamelodi-Oos Uit 13;http://mamelodi-oos-uit-13.postalcodez.co.za/postalcode/gp/city-of-tshwane/mamelodi/mamelodi-oos-uit-13;Location: Mamelodi-Oos Uit 13;122;-------;Mamelodi;City of Tshwane;Gauteng;GP Capital City:Johannesburg;South Africa
Johannesburg;2001;2000;City of Tshwane;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane;Pretoria North;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane/pretoria-north;Annlin Uit 54;http://annlin-uit-54.postalcodez.co.za/postalcode/gp/city-of-tshwane/pretoria-north/annlin-uit-54;Location: Annlin Uit 54;182;129;Pretoria North;City of Tshwane;Gauteng;GP Capital City:Johannesburg;South Africa
Johannesburg;2001;2000;City of Tshwane;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane;Pretoria;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane/pretoria;E Freedom Save;http://e-freedom-save.postalcodez.co.za/postalcode/gp/city-of-tshwane/pretoria/e-freedom-save;Location: E Freedom Save;-------;79;Pretoria;City of Tshwane;Gauteng;GP Capital City:Johannesburg;South Africa
Johannesburg;2001;2000;City of Tshwane;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane;Pretoria West;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane/pretoria-west;Danville Ext 34;http://danville-ext-34.postalcodez.co.za/postalcode/gp/city-of-tshwane/pretoria-west/danville-ext-34;Location: Danville Ext 34;183;-------;Pretoria West;City of Tshwane;Gauteng;GP Capital City:Johannesburg;South Africa
Johannesburg;2001;2000;City of Tshwane;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane;Johannesburg;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane/johannesburg;Alexandra Fase 2;http://alexandra-fase-2.postalcodez.co.za/postalcode/gp/city-of-tshwane/johannesburg/alexandra-fase-2;Location: Alexandra Fase 2;2090;2090;Johannesburg;City of Tshwane;Gauteng;GP Capital City:Johannesburg;South Africa
Johannesburg;2001;2000;City of Tshwane;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane;Pretoria North;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane/pretoria-north;Annlin Uit 52;http://annlin-uit-52.postalcodez.co.za/postalcode/gp/city-of-tshwane/pretoria-north/annlin-uit-52;Location: Annlin Uit 52;182;129;Pretoria North;City of Tshwane;Gauteng;GP Capital City:Johannesburg;South Africa
