province;province-href;cc_capital-city;cc_street-code;cc_Box-Code;area;area-href;area_list;area_list-href;suburblist;suburblist-href;s_location;s_streetcode;s_boxcode;s_area;s_municipality;s_province;s_capitalcity;s_country
Northern Cape;http://postalcodez.co.za/postalcodes/nc;Kimberley;8301;8301;Frances Baard;http://postalcodez.co.za/postalcodes/nc/frances-baard;Ulco;http://postalcodez.co.za/postalcodes/nc/frances-baard/ulco;Ulco;http://ulco.postalcodez.co.za/postalcode/nc/frances-baard/ulco/ulco;Location: Ulco;8390;8390;Ulco;Frances Baard;Northern Cape;NC Capital City:Kimberley;South Africa
Northern Cape;http://postalcodez.co.za/postalcodes/nc;Kimberley;8301;8301;Namakwa;http://postalcodez.co.za/postalcodes/nc/namakwa;Williston;http://postalcodez.co.za/postalcodes/nc/namakwa/williston;Williston;http://williston.postalcodez.co.za/postalcode/nc/namakwa/williston/williston;Location: Williston;8920;8920;Williston;Namakwa;Northern Cape;NC Capital City:Kimberley;South Africa
Northern Cape;http://postalcodez.co.za/postalcodes/nc;Kimberley;8301;8301;Frances Baard;http://postalcodez.co.za/postalcodes/nc/frances-baard;Delportshoop;http://postalcodez.co.za/postalcodes/nc/frances-baard/delportshoop;Proteahof;http://proteahof.postalcodez.co.za/postalcode/nc/frances-baard/delportshoop/proteahof;Location: Proteahof;-------;8377;Delportshoop;Frances Baard;Northern Cape;NC Capital City:Kimberley;South Africa
Northern Cape;http://postalcodez.co.za/postalcodes/nc;Kimberley;8301;8301;Pixley ka Seme;http://postalcodez.co.za/postalcodes/nc/pixley-ka-seme;Niekerkshoop;http://postalcodez.co.za/postalcodes/nc/pixley-ka-seme/niekerkshoop;Thabong;http://thabong.postalcodez.co.za/postalcode/nc/pixley-ka-seme/niekerkshoop/thabong;Location: Thabong;-------;8930;Niekerkshoop;Pixley ka Seme;Northern Cape;NC Capital City:Kimberley;South Africa
Northern Cape;http://postalcodez.co.za/postalcodes/nc;Kimberley;8301;8301;Siyanda;http://postalcodez.co.za/postalcodes/nc/siyanda;Karos;http://postalcodez.co.za/postalcodes/nc/siyanda/karos;Karos;http://karos.postalcodez.co.za/postalcode/nc/siyanda/karos/karos;Location: Karos;-------;8819;Karos;Siyanda;Northern Cape;NC Capital City:Kimberley;South Africa
Northern Cape;http://postalcodez.co.za/postalcodes/nc;Kimberley;8301;8301;Frances Baard;http://postalcodez.co.za/postalcodes/nc/frances-baard;Kimberley;http://postalcodez.co.za/postalcodes/nc/frances-baard/kimberley;Mampe;http://mampe.postalcodez.co.za/postalcode/nc/frances-baard/kimberley/mampe;Location: Mampe;-------;8301;Kimberley;Frances Baard;Northern Cape;NC Capital City:Kimberley;South Africa
Northern Cape;http://postalcodez.co.za/postalcodes/nc;Kimberley;8301;8301;Siyanda;http://postalcodez.co.za/postalcodes/nc/siyanda;Upington;http://postalcodez.co.za/postalcodes/nc/siyanda/upington;Bellevue;http://bellevue.postalcodez.co.za/postalcode/nc/siyanda/upington/bellevue;Location: Bellevue;8801;-------;Upington;Siyanda;Northern Cape;NC Capital City:Kimberley;South Africa
Northern Cape;http://postalcodez.co.za/postalcodes/nc;Kimberley;8301;8301;Siyanda;http://postalcodez.co.za/postalcodes/nc/siyanda;Kakamas;http://postalcodez.co.za/postalcodes/nc/siyanda/kakamas;Kakamas;http://kakamas.postalcodez.co.za/postalcode/nc/siyanda/kakamas/kakamas;Location: Kakamas;8870;8870;Kakamas;Siyanda;Northern Cape;NC Capital City:Kimberley;South Africa
Northern Cape;http://postalcodez.co.za/postalcodes/nc;Kimberley;8301;8301;Kgalagadi;http://postalcodez.co.za/postalcodes/nc/kgalagadi;Dibeng;http://postalcodez.co.za/postalcodes/nc/kgalagadi/dibeng;Dibeng;http://dibeng.postalcodez.co.za/postalcode/nc/kgalagadi/dibeng/dibeng;Location: Dibeng;8463;8463;Dibeng;Kgalagadi;Northern Cape;NC Capital City:Kimberley;South Africa
Northern Cape;http://postalcodez.co.za/postalcodes/nc;Kimberley;8301;8301;Frances Baard;http://postalcodez.co.za/postalcodes/nc/frances-baard;Kimberley;http://postalcodez.co.za/postalcodes/nc/frances-baard/kimberley;Eltoro Park;http://eltoro-park.postalcodez.co.za/postalcode/nc/frances-baard/kimberley/eltoro-park;Location: Eltoro Park;8301;-------;Kimberley;Frances Baard;Northern Cape;NC Capital City:Kimberley;South Africa
