province;province-href;cc_capital-city;cc_street-code;cc_Box-Code;area;area-href;area_list;area_list-href;suburblist;suburblist-href;s_location;s_streetcode;s_boxcode;s_area;s_municipality;s_province;s_capitalcity;s_country
Northern Cape;http://postalcodez.co.za/postalcodes/nc;Kimberley;8301;8301;Frances Baard;http://postalcodez.co.za/postalcodes/nc/frances-baard;Kimberley;http://postalcodez.co.za/postalcodes/nc/frances-baard/kimberley;Ritchie Uit 4;http://ritchie-uit-4.postalcodez.co.za/postalcode/nc/frances-baard/kimberley/ritchie-uit-4;Location: Ritchie Uit 4;8301;-------;Kimberley;Frances Baard;Northern Cape;NC Capital City:Kimberley;South Africa
Northern Cape;http://postalcodez.co.za/postalcodes/nc;Kimberley;8301;8301;Siyanda;http://postalcodez.co.za/postalcodes/nc/siyanda;Keimoes;http://postalcodez.co.za/postalcodes/nc/siyanda/keimoes;Keimoes;http://keimoes.postalcodez.co.za/postalcode/nc/siyanda/keimoes/keimoes;Location: Keimoes;8860;8860;Keimoes;Siyanda;Northern Cape;NC Capital City:Kimberley;South Africa
Northern Cape;http://postalcodez.co.za/postalcodes/nc;Kimberley;8301;8301;Frances Baard;http://postalcodez.co.za/postalcodes/nc/frances-baard;Kimberley;http://postalcodez.co.za/postalcodes/nc/frances-baard/kimberley;Monumenthoogte;http://monumenthoogte.postalcodez.co.za/postalcode/nc/frances-baard/kimberley/monumenthoogte;Location: Monumenthoogte;8301;-------;Kimberley;Frances Baard;Northern Cape;NC Capital City:Kimberley;South Africa
Northern Cape;http://postalcodez.co.za/postalcodes/nc;Kimberley;8301;8301;Frances Baard;http://postalcodez.co.za/postalcodes/nc/frances-baard;Kimberley;http://postalcodez.co.za/postalcodes/nc/frances-baard/kimberley;Moghul Park;http://moghul-park.postalcodez.co.za/postalcode/nc/frances-baard/kimberley/moghul-park;Location: Moghul Park;8301;-------;Kimberley;Frances Baard;Northern Cape;NC Capital City:Kimberley;South Africa
Northern Cape;http://postalcodez.co.za/postalcodes/nc;Kimberley;8301;8301;Siyanda;http://postalcodez.co.za/postalcodes/nc/siyanda;Postmasburg;http://postalcodez.co.za/postalcodes/nc/siyanda/postmasburg;Postmasburg;http://postmasburg.postalcodez.co.za/postalcode/nc/siyanda/postmasburg/postmasburg;Location: Postmasburg;8420;8420;Postmasburg;Siyanda;Northern Cape;NC Capital City:Kimberley;South Africa
Northern Cape;http://postalcodez.co.za/postalcodes/nc;Kimberley;8301;8301;Siyanda;http://postalcodez.co.za/postalcodes/nc/siyanda;Keimoes;http://postalcodez.co.za/postalcodes/nc/siyanda/keimoes;Currie Camp;http://currie-camp.postalcodez.co.za/postalcode/nc/siyanda/keimoes/currie-camp;Location: Currie Camp;-------;8860;Keimoes;Siyanda;Northern Cape;NC Capital City:Kimberley;South Africa
Northern Cape;http://postalcodez.co.za/postalcodes/nc;Kimberley;8301;8301;Siyanda;http://postalcodez.co.za/postalcodes/nc/siyanda;Mancorp Mine;http://postalcodez.co.za/postalcodes/nc/siyanda/mancorp-mine;Beeshoek;http://beeshoek.postalcodez.co.za/postalcode/nc/siyanda/mancorp-mine/beeshoek;Location: Beeshoek;8423;-------;Mancorp Mine;Siyanda;Northern Cape;NC Capital City:Kimberley;South Africa
Northern Cape;http://postalcodez.co.za/postalcodes/nc;Kimberley;8301;8301;Namakwa;http://postalcodez.co.za/postalcodes/nc/namakwa;Okiep;http://postalcodez.co.za/postalcodes/nc/namakwa/okiep;Okiep;http://okiep.postalcodez.co.za/postalcode/nc/namakwa/okiep/okiep;Location: Okiep;-------;8270;Okiep;Namakwa;Northern Cape;NC Capital City:Kimberley;South Africa
Northern Cape;http://postalcodez.co.za/postalcodes/nc;Kimberley;8301;8301;Pixley ka Seme;http://postalcodez.co.za/postalcodes/nc/pixley-ka-seme;Colesberg;http://postalcodez.co.za/postalcodes/nc/pixley-ka-seme/colesberg;Bongweni;http://bongweni.postalcodez.co.za/postalcode/nc/pixley-ka-seme/colesberg/bongweni;Location: Bongweni;9795;-------;Colesberg;Pixley ka Seme;Northern Cape;NC Capital City:Kimberley;South Africa
Northern Cape;http://postalcodez.co.za/postalcodes/nc;Kimberley;8301;8301;Pixley ka Seme;http://postalcodez.co.za/postalcodes/nc/pixley-ka-seme;De Aar;http://postalcodez.co.za/postalcodes/nc/pixley-ka-seme/de-aar;De Aar Ext 14;http://de-aar-ext-14.postalcodez.co.za/postalcode/nc/pixley-ka-seme/de-aar/de-aar-ext-14;Location: De Aar Ext 14;7000;-------;De Aar;Pixley ka Seme;Northern Cape;NC Capital City:Kimberley;South Africa
