cc_capital-city,cc_street-code,cc_Box-Code,area,area-href,area_list,area_list-href,suburblist,suburblist-href,s_location,s_streetcode,s_boxcode,s_area,s_municipality,s_province,s_capitalcity,s_country
"Bloemfontein","9301","9300","Northern Free State","http://postalcodez.co.za/postalcodes/fs/northern-free-state","Vredefort","http://postalcodez.co.za/postalcodes/fs/northern-free-state/vredefort","Mokwallo","http://mokwallo.postalcodez.co.za/postalcode/fs/northern-free-state/vredefort/mokwallo","Location: Mokwallo","9595","-------","Vredefort","Northern Free State","Free State","FS Capital City:Bloemfontein","South Africa"
"Bloemfontein","9301","9300","Lejweleputswa","http://postalcodez.co.za/postalcodes/fs/lejweleputswa","Welkom","http://postalcodez.co.za/postalcodes/fs/lejweleputswa/welkom","Unisel","http://unisel.postalcodez.co.za/postalcode/fs/lejweleputswa/welkom/unisel","Location: Unisel","-------","9477","Welkom","Lejweleputswa","Free State","FS Capital City:Bloemfontein","South Africa"
"Bloemfontein","9301","9300","Lejweleputswa","http://postalcodez.co.za/postalcodes/fs/lejweleputswa","Welkom","http://postalcodez.co.za/postalcodes/fs/lejweleputswa/welkom","Welkom","http://welkom.postalcodez.co.za/postalcode/fs/lejweleputswa/welkom/welkom","Location: Welkom","9459","9460","Welkom","Lejweleputswa","Free State","FS Capital City:Bloemfontein","South Africa"
"Bloemfontein","9301","9300","Lejweleputswa","http://postalcodez.co.za/postalcodes/fs/lejweleputswa","Welkom","http://postalcodez.co.za/postalcodes/fs/lejweleputswa/welkom","Welkom Ext 19","http://welkom-ext-19.postalcodez.co.za/postalcode/fs/lejweleputswa/welkom/welkom-ext-19","Location: Welkom Ext 19","9459","-------","Welkom","Lejweleputswa","Free State","FS Capital City:Bloemfontein","South Africa"
"Bloemfontein","9301","9300","Xhariep","http://postalcodez.co.za/postalcodes/fs/xhariep","Zastron","http://postalcodez.co.za/postalcodes/fs/xhariep/zastron","Nuwe Lokasie","http://nuwe-lokasie.postalcodez.co.za/postalcode/fs/xhariep/zastron/nuwe-lokasie","Location: Nuwe Lokasie","9950","9950","Zastron","Xhariep","Free State","FS Capital City:Bloemfontein","South Africa"
"Bloemfontein","9301","9300","Xhariep","http://postalcodez.co.za/postalcodes/fs/xhariep","Koffiefontein","http://postalcodez.co.za/postalcodes/fs/xhariep/koffiefontein","Koffiefontein","http://koffiefontein.postalcodez.co.za/postalcode/fs/xhariep/koffiefontein/koffiefontein","Location: Koffiefontein","9986","9986","Koffiefontein","Xhariep","Free State","FS Capital City:Bloemfontein","South Africa"
"Bloemfontein","9301","9300","Motheo","http://postalcodez.co.za/postalcodes/fs/motheo","Kagisanong","http://postalcodez.co.za/postalcodes/fs/motheo/kagisanong","Phelindaba","http://phelindaba.postalcodez.co.za/postalcode/fs/motheo/kagisanong/phelindaba","Location: Phelindaba","9323","-------","Kagisanong","Motheo","Free State","FS Capital City:Bloemfontein","South Africa"
"Bloemfontein","9301","9300","Motheo","http://postalcodez.co.za/postalcodes/fs/motheo","Bloemfontein","http://postalcodez.co.za/postalcodes/fs/motheo/bloemfontein","Botshabelo","http://botshabelo.postalcodez.co.za/postalcode/fs/motheo/bloemfontein/botshabelo","Location: Botshabelo","9781","9781","Bloemfontein","Motheo","Free State","FS Capital City:Bloemfontein","South Africa"
"Bloemfontein","9301","9300","Motheo","http://postalcodez.co.za/postalcodes/fs/motheo","Kagisanong","http://postalcodez.co.za/postalcodes/fs/motheo/kagisanong","Bloemanda Fase 3","http://bloemanda-fase-3.postalcodez.co.za/postalcode/fs/motheo/kagisanong/bloemanda-fase-3","Location: Bloemanda Fase 3","9323","-------","Kagisanong","Motheo","Free State","FS Capital City:Bloemfontein","South Africa"
"Bloemfontein","9301","9300","Lejweleputswa","http://postalcodez.co.za/postalcodes/fs/lejweleputswa","Parys","http://postalcodez.co.za/postalcodes/fs/lejweleputswa/parys","Lusaka","http://lusaka.postalcodez.co.za/postalcode/fs/lejweleputswa/parys/lusaka","Location: Lusaka","-------","9585","Parys","Lejweleputswa","Free State","FS Capital City:Bloemfontein","South Africa"
