cc_capital-city,cc_street-code,cc_Box-Code,area,area-href,area_list,area_list-href,suburblist,suburblist-href,s_location,s_streetcode,s_boxcode,s_area,s_municipality,s_province,s_capitalcity,s_country
"Bhisho","5605","5605","Amatole","http://postalcodez.co.za/postalcodes/ec/amatole","Thomas River","http://postalcodez.co.za/postalcodes/ec/amatole/thomas-river","Thomasrivier","http://thomasrivier.postalcodez.co.za/postalcode/ec/amatole/thomas-river/thomasrivier","Location: Thomasrivier","-------","5311","Thomas River","Amatole","Eastern Cape","EC Capital City:Bhisho","South Africa"
"Bhisho","5605","5605","Nelson Mandela Bay","http://postalcodez.co.za/postalcodes/ec/nelson-mandela-bay","Port Elizabeth","http://postalcodez.co.za/postalcodes/ec/nelson-mandela-bay/port-elizabeth","Charlo","http://charlo.postalcodez.co.za/postalcode/ec/nelson-mandela-bay/port-elizabeth/charlo","Location: Charlo","6070","-------","Port Elizabeth","Nelson Mandela Bay","Eastern Cape","EC Capital City:Bhisho","South Africa"
"Bhisho","5605","5605","Cacadu","http://postalcodez.co.za/postalcodes/ec/cacadu","Jeffreys Bay","http://postalcodez.co.za/postalcodes/ec/cacadu/jeffreys-bay","Jeffreys Bay","http://jeffreys-bay.postalcodez.co.za/postalcode/ec/cacadu/jeffreys-bay/jeffreys-bay","Location: Jeffreys Bay","6330","6330","Jeffreys Bay","Cacadu","Eastern Cape","EC Capital City:Bhisho","South Africa"
"Bhisho","5605","5605","Amatole","http://postalcodez.co.za/postalcodes/ec/amatole","Idutywa","http://postalcodez.co.za/postalcodes/ec/amatole/idutywa","Dutywa","http://dutywa.postalcodez.co.za/postalcode/ec/amatole/idutywa/dutywa","Location: Dutywa","5000","5000","Idutywa","Amatole","Eastern Cape","EC Capital City:Bhisho","South Africa"
"Bhisho","5605","5605","Nelson Mandela Bay","http://postalcodez.co.za/postalcodes/ec/nelson-mandela-bay","Port Elizabeth","http://postalcodez.co.za/postalcodes/ec/nelson-mandela-bay/port-elizabeth","Greenacres","http://greenacres.postalcodez.co.za/postalcode/ec/nelson-mandela-bay/port-elizabeth/greenacres","Location: Greenacres","6045","6057","Port Elizabeth","Nelson Mandela Bay","Eastern Cape","EC Capital City:Bhisho","South Africa"
"Bhisho","5605","5605","Ukhahlamba","http://postalcodez.co.za/postalcodes/ec/ukhahlamba","Mount Fletcher","http://postalcodez.co.za/postalcodes/ec/ukhahlamba/mount-fletcher","Setabataba","http://setabataba.postalcodez.co.za/postalcode/ec/ukhahlamba/mount-fletcher/setabataba","Location: Setabataba","-------","4774","Mount Fletcher","Ukhahlamba","Eastern Cape","EC Capital City:Bhisho","South Africa"
"Bhisho","5605","5605","Nelson Mandela Bay","http://postalcodez.co.za/postalcodes/ec/nelson-mandela-bay","Port Elizabeth","http://postalcodez.co.za/postalcodes/ec/nelson-mandela-bay/port-elizabeth","Lakeside","http://lakeside.postalcodez.co.za/postalcode/ec/nelson-mandela-bay/port-elizabeth/lakeside","Location: Lakeside","-------","6017","Port Elizabeth","Nelson Mandela Bay","Eastern Cape","EC Capital City:Bhisho","South Africa"
"Bhisho","5605","5605","Nelson Mandela Bay","http://postalcodez.co.za/postalcodes/ec/nelson-mandela-bay","Port Elizabeth","http://postalcodez.co.za/postalcodes/ec/nelson-mandela-bay/port-elizabeth","Craigbain","http://craigbain.postalcodez.co.za/postalcode/ec/nelson-mandela-bay/port-elizabeth/craigbain","Location: Craigbain","6001","-------","Port Elizabeth","Nelson Mandela Bay","Eastern Cape","EC Capital City:Bhisho","South Africa"
"Bhisho","5605","5605","Cacadu","http://postalcodez.co.za/postalcodes/ec/cacadu","Middleton","http://postalcodez.co.za/postalcodes/ec/cacadu/middleton","Middleton","http://middleton.postalcodez.co.za/postalcode/ec/cacadu/middleton/middleton","Location: Middleton","-------","5810","Middleton","Cacadu","Eastern Cape","EC Capital City:Bhisho","South Africa"
"Bhisho","5605","5605","Nelson Mandela Bay","http://postalcodez.co.za/postalcodes/ec/nelson-mandela-bay","Kwanobuhle","http://postalcodez.co.za/postalcodes/ec/nelson-mandela-bay/kwanobuhle","Gonguluza","http://gonguluza.postalcodez.co.za/postalcode/ec/nelson-mandela-bay/kwanobuhle/gonguluza","Location: Gonguluza","6242","-------","Kwanobuhle","Nelson Mandela Bay","Eastern Cape","EC Capital City:Bhisho","South Africa"
