cc_capital-city,cc_street-code,cc_Box-Code,area,area-href,area_list,area_list-href,suburblist,suburblist-href,s_location,s_streetcode,s_boxcode,s_area,s_municipality,s_province,s_capitalcity,s_country
"Pietermaritzburg","3201","3200","Umgungundlovu","http://postalcodez.co.za/postalcodes/zn/umgungundlovu","Selgro","http://postalcodez.co.za/postalcodes/zn/umgungundlovu/selgro","Selgro","http://selgro.postalcodez.co.za/postalcode/zn/umgungundlovu/selgro/selgro","Location: Selgro","-------","3281","Selgro","Umgungundlovu","KwaZulu-Natal","ZN Capital City:Pietermaritzburg","South Africa"
"Pietermaritzburg","3201","3200","Umzinyathi","http://postalcodez.co.za/postalcodes/zn/umzinyathi","Dundee","http://postalcodez.co.za/postalcodes/zn/umzinyathi/dundee","Forestdale","http://forestdale.postalcodez.co.za/postalcode/zn/umzinyathi/dundee/forestdale","Location: Forestdale","3000","-------","Dundee","Umzinyathi","KwaZulu-Natal","ZN Capital City:Pietermaritzburg","South Africa"
"Pietermaritzburg","3201","3200","Umgungundlovu","http://postalcodez.co.za/postalcodes/zn/umgungundlovu","Pietermaritzburg","http://postalcodez.co.za/postalcodes/zn/umgungundlovu/pietermaritzburg","Darjeeling Heights","http://darjeeling-heights.postalcodez.co.za/postalcode/zn/umgungundlovu/pietermaritzburg/darjeeling-heights","Location: Darjeeling Heights","3201","-------","Pietermaritzburg","Umgungundlovu","KwaZulu-Natal","ZN Capital City:Pietermaritzburg","South Africa"
"Pietermaritzburg","3201","3200","eThekwini","http://postalcodez.co.za/postalcodes/zn/ethekwini","Malvern","http://postalcodez.co.za/postalcodes/zn/ethekwini/malvern","Queensmead","http://queensmead.postalcodez.co.za/postalcode/zn/ethekwini/malvern/queensmead","Location: Queensmead","-------","4147","Malvern","eThekwini","KwaZulu-Natal","ZN Capital City:Pietermaritzburg","South Africa"
"Pietermaritzburg","3201","3200","Umgungundlovu","http://postalcodez.co.za/postalcodes/zn/umgungundlovu","Hammarsdale","http://postalcodez.co.za/postalcodes/zn/umgungundlovu/hammarsdale","Camperdown","http://camperdown.postalcodez.co.za/postalcode/zn/umgungundlovu/hammarsdale/camperdown","Location: Camperdown","3720","3720","Hammarsdale","Umgungundlovu","KwaZulu-Natal","ZN Capital City:Pietermaritzburg","South Africa"
"Pietermaritzburg","3201","3200","eThekwini","http://postalcodez.co.za/postalcodes/zn/ethekwini","Umlazi","http://postalcodez.co.za/postalcodes/zn/ethekwini/umlazi","Umlazi Hx14","http://umlazi-hx14.postalcodez.co.za/postalcode/zn/ethekwini/umlazi/umlazi-hx14","Location: Umlazi Hx14","-------","4031","Umlazi","eThekwini","KwaZulu-Natal","ZN Capital City:Pietermaritzburg","South Africa"
"Pietermaritzburg","3201","3200","eThekwini","http://postalcodez.co.za/postalcodes/zn/ethekwini","Umlazi","http://postalcodez.co.za/postalcodes/zn/ethekwini/umlazi","Philani Village","http://philani-village.postalcodez.co.za/postalcode/zn/ethekwini/umlazi/philani-village","Location: Philani Village","4066","4154","Umlazi","eThekwini","KwaZulu-Natal","ZN Capital City:Pietermaritzburg","South Africa"
"Pietermaritzburg","3201","3200","Amajuba","http://postalcodez.co.za/postalcodes/zn/amajuba","Madadeni","http://postalcodez.co.za/postalcodes/zn/amajuba/madadeni","Madadeni Section 1","http://madadeni-section-1.postalcodez.co.za/postalcode/zn/amajuba/madadeni/madadeni-section-1","Location: Madadeni Section 1","2951","2951","Madadeni","Amajuba","KwaZulu-Natal","ZN Capital City:Pietermaritzburg","South Africa"
"Pietermaritzburg","3201","3200","uThungulu","http://postalcodez.co.za/postalcodes/zn/uthungulu","Eshowe","http://postalcodez.co.za/postalcodes/zn/uthungulu/eshowe","Ntumeni","http://ntumeni.postalcodez.co.za/postalcode/zn/uthungulu/eshowe/ntumeni","Location: Ntumeni","-------","3830","Eshowe","uThungulu","KwaZulu-Natal","ZN Capital City:Pietermaritzburg","South Africa"
"Pietermaritzburg","3201","3200","uThungulu","http://postalcodez.co.za/postalcodes/zn/uthungulu","Kwadlangezwa","http://postalcodez.co.za/postalcodes/zn/uthungulu/kwadlangezwa","Kwa Sabe","http://kwa-sabe.postalcodez.co.za/postalcode/zn/uthungulu/kwadlangezwa/kwa-sabe","Location: Kwa Sabe","-------","3886","Kwadlangezwa","uThungulu","KwaZulu-Natal","ZN Capital City:Pietermaritzburg","South Africa"
"Pietermaritzburg","3201","3200","Ugu","http://postalcodez.co.za/postalcodes/zn/ugu","Umzumbe","http://postalcodez.co.za/postalcodes/zn/ugu/umzumbe","Phumula","http://phumula.postalcodez.co.za/postalcode/zn/ugu/umzumbe/phumula","Location: Phumula","-------","4225","Umzumbe","Ugu","KwaZulu-Natal","ZN Capital City:Pietermaritzburg","South Africa"
"Pietermaritzburg","3201","3200","uThungulu","http://postalcodez.co.za/postalcodes/zn/uthungulu","Nkandla","http://postalcodez.co.za/postalcodes/zn/uthungulu/nkandla","Mashinga","http://mashinga.postalcodez.co.za/postalcode/zn/uthungulu/nkandla/mashinga","Location: Mashinga","-------","3855","Nkandla","uThungulu","KwaZulu-Natal","ZN Capital City:Pietermaritzburg","South Africa"
"Pietermaritzburg","3201","3200","eThekwini","http://postalcodez.co.za/postalcodes/zn/ethekwini","Westville","http://postalcodez.co.za/postalcodes/zn/ethekwini/westville","Westville Prison","http://westville-prison.postalcodez.co.za/postalcode/zn/ethekwini/westville/westville-prison","Location: Westville Prison","-------","3634","Westville","eThekwini","KwaZulu-Natal","ZN Capital City:Pietermaritzburg","South Africa"
"Pietermaritzburg","3201","3200","eThekwini","http://postalcodez.co.za/postalcodes/zn/ethekwini","Chatsworth","http://postalcodez.co.za/postalcodes/zn/ethekwini/chatsworth","Umhlatuzana","http://umhlatuzana.postalcodez.co.za/postalcode/zn/ethekwini/chatsworth/umhlatuzana","Location: Umhlatuzana","4092","4054","Chatsworth","eThekwini","KwaZulu-Natal","ZN Capital City:Pietermaritzburg","South Africa"
"Pietermaritzburg","3201","3200","Umkhanyakude","http://postalcodez.co.za/postalcodes/zn/umkhanyakude","Port Shepstone","http://postalcodez.co.za/postalcodes/zn/umkhanyakude/port-shepstone","Marburg Ext 3","http://marburg-ext-3.postalcodez.co.za/postalcode/zn/umkhanyakude/port-shepstone/marburg-ext-3","Location: Marburg Ext 13","-------","4240","Port Shepstone","Umkhanyakude","KwaZulu-Natal","ZN Capital City:Pietermaritzburg","South Africa"
"Pietermaritzburg","3201","3200","eThekwini","http://postalcodez.co.za/postalcodes/zn/ethekwini","Umlazi","http://postalcodez.co.za/postalcodes/zn/ethekwini/umlazi","Umlazi F11","http://umlazi-f11.postalcodez.co.za/postalcode/zn/ethekwini/umlazi/umlazi-f11","Location: Umlazi F11","-------","4031","Umlazi","eThekwini","KwaZulu-Natal","ZN Capital City:Pietermaritzburg","South Africa"
"Pietermaritzburg","3201","3200","Amajuba","http://postalcodez.co.za/postalcodes/zn/amajuba","Osizweni","http://postalcodez.co.za/postalcodes/zn/amajuba/osizweni","Naas Plaas","http://naas-plaas.postalcodez.co.za/postalcode/zn/amajuba/osizweni/naas-plaas","Location: Naas Plaas","-------","2952","Osizweni","Amajuba","KwaZulu-Natal","ZN Capital City:Pietermaritzburg","South Africa"
"Pietermaritzburg","3201","3200","Umgungundlovu","http://postalcodez.co.za/postalcodes/zn/umgungundlovu","Richmond","http://postalcodez.co.za/postalcodes/zn/umgungundlovu/richmond","Byrne Valley","http://byrne-valley.postalcodez.co.za/postalcode/zn/umgungundlovu/richmond/byrne-valley","Location: Byrne Valley","-------","3781","Richmond","Umgungundlovu","KwaZulu-Natal","ZN Capital City:Pietermaritzburg","South Africa"
"Pietermaritzburg","3201","3200","eThekwini","http://postalcodez.co.za/postalcodes/zn/ethekwini","Rossburgh","http://postalcodez.co.za/postalcodes/zn/ethekwini/rossburgh","Seaglen Gardens","http://seaglen-gardens.postalcodez.co.za/postalcode/zn/ethekwini/rossburgh/seaglen-gardens","Location: Seaglen Gardens","4094","4146","Rossburgh","eThekwini","KwaZulu-Natal","ZN Capital City:Pietermaritzburg","South Africa"
"Pietermaritzburg","3201","3200","Umgungundlovu","http://postalcodez.co.za/postalcodes/zn/umgungundlovu","Pietermaritzburg","http://postalcodez.co.za/postalcodes/zn/umgungundlovu/pietermaritzburg","Panorama Gardens","http://panorama-gardens.postalcodez.co.za/postalcode/zn/umgungundlovu/pietermaritzburg/panorama-gardens","Location: Panorama Gardens","3201","3200","Pietermaritzburg","Umgungundlovu","KwaZulu-Natal","ZN Capital City:Pietermaritzburg","South Africa"
"Pietermaritzburg","3201","3200","uThungulu","http://postalcodez.co.za/postalcodes/zn/uthungulu","Richards Bay","http://postalcodez.co.za/postalcodes/zn/uthungulu/richards-bay","Aquaden Sentrum","http://aquaden-sentrum.postalcodez.co.za/postalcode/zn/uthungulu/richards-bay/aquaden-sentrum","Location: Aquaden Sentrum","3900","3900","Richards Bay","uThungulu","KwaZulu-Natal","ZN Capital City:Pietermaritzburg","South Africa"
"Pietermaritzburg","3201","3200","Amajuba","http://postalcodez.co.za/postalcodes/zn/amajuba","Dundee","http://postalcodez.co.za/postalcodes/zn/amajuba/dundee","Rorke's Drift","http://rorke-s-drift.postalcodez.co.za/postalcode/zn/amajuba/dundee/rorke-s-drift","Location: Rorke's Drift","-------","3016","Dundee","Amajuba","KwaZulu-Natal","ZN Capital City:Pietermaritzburg","South Africa"
"Pietermaritzburg","3201","3200","eThekwini","http://postalcodez.co.za/postalcodes/zn/ethekwini","Westville","http://postalcodez.co.za/postalcodes/zn/ethekwini/westville","Westway Office Park","http://westway-office-park.postalcodez.co.za/postalcode/zn/ethekwini/westville/westway-office-park","Location: Westway Office Park","-------","3635","Westville","eThekwini","KwaZulu-Natal","ZN Capital City:Pietermaritzburg","South Africa"
"Pietermaritzburg","3201","3200","eThekwini","http://postalcodez.co.za/postalcodes/zn/ethekwini","Westville","http://postalcodez.co.za/postalcodes/zn/ethekwini/westville","Wandsbeck","http://wandsbeck.postalcodez.co.za/postalcode/zn/ethekwini/westville/wandsbeck","Location: Wandsbeck","-------","3631","Westville","eThekwini","KwaZulu-Natal","ZN Capital City:Pietermaritzburg","South Africa"
"Pietermaritzburg","3201","3200","eThekwini","http://postalcodez.co.za/postalcodes/zn/ethekwini","Pinetown","http://postalcodez.co.za/postalcodes/zn/ethekwini/pinetown","Mariannhoogte","http://mariannhoogte.postalcodez.co.za/postalcode/zn/ethekwini/pinetown/mariannhoogte","Location: Mariannhoogte","3610","-------","Pinetown","eThekwini","KwaZulu-Natal","ZN Capital City:Pietermaritzburg","South Africa"
"Pietermaritzburg","3201","3200","eThekwini","http://postalcodez.co.za/postalcodes/zn/ethekwini","Phoenix","http://postalcodez.co.za/postalcodes/zn/ethekwini/phoenix","Campbellstown","http://campbellstown.postalcodez.co.za/postalcode/zn/ethekwini/phoenix/campbellstown","Location: Campbellstown","4068","4158","Phoenix","eThekwini","KwaZulu-Natal","ZN Capital City:Pietermaritzburg","South Africa"
"Pietermaritzburg","3201","3200","Umgungundlovu","http://postalcodez.co.za/postalcodes/zn/umgungundlovu","Pietermaritzburg","http://postalcodez.co.za/postalcodes/zn/umgungundlovu/pietermaritzburg","Imbali Unit Cc","http://imbali-unit-cc.postalcodez.co.za/postalcode/zn/umgungundlovu/pietermaritzburg/imbali-unit-cc","Location: Imbali Unit Cc","3201","3216","Pietermaritzburg","Umgungundlovu","KwaZulu-Natal","ZN Capital City:Pietermaritzburg","South Africa"
"Pietermaritzburg","3201","3200","eThekwini","http://postalcodez.co.za/postalcodes/zn/ethekwini","Hammarsdale","http://postalcodez.co.za/postalcodes/zn/ethekwini/hammarsdale","Fredville","http://fredville.postalcodez.co.za/postalcode/zn/ethekwini/hammarsdale/fredville","Location: Fredville","-------","3700","Hammarsdale","eThekwini","KwaZulu-Natal","ZN Capital City:Pietermaritzburg","South Africa"
"Pietermaritzburg","3201","3200","eThekwini","http://postalcodez.co.za/postalcodes/zn/ethekwini","Pinetown","http://postalcodez.co.za/postalcodes/zn/ethekwini/pinetown","Forest Hills","http://forest-hills.postalcodez.co.za/postalcode/zn/ethekwini/pinetown/forest-hills","Location: Forest Hills","3610","3624","Pinetown","eThekwini","KwaZulu-Natal","ZN Capital City:Pietermaritzburg","South Africa"
